FormalEducation,CompanySize,CompanyType,YearsCodedJob
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,20 or more years
Professional degree,"5,000 to 9,999 employees",Publicly-traded corporation,20 or more years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,3 to 4 years
Bachelor's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,16 to 17 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Some college/university study without earning a bachelor's degree,500 to 999 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,Venture-funded startup,7 to 8 years
Bachelor's degree,"1,000 to 4,999 employees","Sole proprietorship or partnership, not in startup mode",1 to 2 years
Master's degree,"1,000 to 4,999 employees",I don't know,4 to 5 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,Venture-funded startup,20 or more years
Master's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",16 to 17 years
Some college/university study without earning a bachelor's degree,"1,000 to 4,999 employees",Government agency or public school/university,20 or more years
Bachelor's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",13 to 14 years
Doctoral degree,"10,000 or more employees",Publicly-traded corporation,
Bachelor's degree,20 to 99 employees,Venture-funded startup,11 to 12 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Bachelor's degree,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,100 to 499 employees,I don't know,4 to 5 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",17 to 18 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,"1,000 to 4,999 employees",Government agency or public school/university,12 to 13 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Some college/university study without earning a bachelor's degree,"10,000 or more employees",Publicly-traded corporation,4 to 5 years
Bachelor's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years
