Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
United Kingdom,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,20 or more years,Other,Male,White or of European descent
United Kingdom,Professional degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),"5,000 to 9,999 employees",Publicly-traded corporation,20 or more years,Embedded applications/devices developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,Web developer; Embedded applications/devices developer; DevOps specialist; Quality assurance engineer; Other,Male,"Native American, Pacific Islander, or Indigenous Australian; White or of European descent"
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,Web developer,,
Israel,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Other,Male,White or of European descent
United States,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,16 to 17 years,Web developer,Male,White or of European descent
Croatia,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Embedded applications/devices developer,Male,White or of European descent
Argentina,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,500 to 999 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years,Web developer; Mobile developer; Desktop applications developer,Male,Hispanic or Latino/Latina
Germany,Some college/university study without earning a bachelor's degree,Mathematics or statistics,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,7 to 8 years,Web developer,Male,White or of European descent
Brazil,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees","Sole proprietorship or partnership, not in startup mode",1 to 2 years,Web developer; Mobile developer; Quality assurance engineer,Male,Hispanic or Latino/Latina; White or of European descent
Germany,Master's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",I don't know,4 to 5 years,Web developer,Male,Hispanic or Latino/Latina; White or of European descent
Italy,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Mobile developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,South Asian
Netherlands,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",4 to 5 years,Desktop applications developer,Male,White or of European descent
Poland,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,Middle Eastern
Spain,Bachelor's degree,Computer programming or Web development,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,,
United States,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,White or of European descent
